family,window,response,share,se,cc,n_vars,per_var,learner
absolute_mortality,12 months,ETmax,14.2781902698474,0.750997877020119,Standing mortality / deadwood,15,0.951879351323161,LightGBM (Optuna)
absolute_mortality,12 months,GPPsat,20.2551681421959,0.819249796893671,Standing mortality / deadwood,15,1.35034454281306,LightGBM (Optuna)
absolute_mortality,12 months,NEPmax,22.70287895012,0.711800984711348,Standing mortality / deadwood,15,1.51352526334133,LightGBM (Optuna)
absolute_mortality,12 months,WUE,22.8963702320828,0.881066070517775,Standing mortality / deadwood,15,1.52642468213886,LightGBM (Optuna)
absolute_mortality,24 months,ETmax,24.2946797882484,0.575579396745182,Standing mortality / deadwood,15,1.61964531921656,LightGBM (Optuna)
absolute_mortality,24 months,GPPsat,27.0583762481468,0.791327365760307,Standing mortality / deadwood,15,1.80389174987646,LightGBM (Optuna)
absolute_mortality,24 months,NEPmax,22.1550431769842,0.611330168185264,Standing mortality / deadwood,15,1.47700287846561,LightGBM (Optuna)
absolute_mortality,24 months,WUE,27.6438159208636,0.854468885247977,Standing mortality / deadwood,15,1.84292106139091,LightGBM (Optuna)
mortality_loss_severity_pct,12 months,ETmax,3.99669495038339,0.132911902275918,Tree cover change,5,0.799338990076677,LightGBM (Optuna)
mortality_loss_severity_pct,12 months,GPPsat,11.3001940088777,0.293507054126915,Tree cover change,5,2.26003880177553,LightGBM (Optuna)
mortality_loss_severity_pct,12 months,NEPmax,13.1434865646896,0.4348806121062,Tree cover change,5,2.62869731293792,LightGBM (Optuna)
mortality_loss_severity_pct,12 months,WUE,9.48200239357679,0.375716369290121,Tree cover change,5,1.89640047871536,LightGBM (Optuna)
mortality_loss_severity_pct,24 months,ETmax,4.44406550032948,0.0832887146930606,Tree cover change,5,0.888813100065895,LightGBM (Optuna)
mortality_loss_severity_pct,24 months,GPPsat,11.6012944836341,0.227895163995577,Tree cover change,5,2.32025889672683,LightGBM (Optuna)
mortality_loss_severity_pct,24 months,NEPmax,14.2508007134157,0.470973536007829,Tree cover change,5,2.85016014268315,LightGBM (Optuna)
mortality_loss_severity_pct,24 months,WUE,9.69874787599881,0.394217524822258,Tree cover change,5,1.93974957519976,LightGBM (Optuna)
mortality_loss_severity_pct_thresh,12 months,ETmax,3.09892473676928,0.109439030102031,Tree cover change,5,0.619784947353856,LightGBM (Optuna)
mortality_loss_severity_pct_thresh,12 months,GPPsat,1.95456991291897,0.0748659581125472,Tree cover change,5,0.390913982583794,LightGBM (Optuna)
mortality_loss_severity_pct_thresh,12 months,NEPmax,1.61389820528177,0.050587312018545,Tree cover change,5,0.322779641056355,LightGBM (Optuna)
