model,response,R2_base,RMSE_base,R2_e1,RMSE_e1,R2_e2,RMSE_e2,dataset,mem
M8_anom_12m,uWUE,0.11147411066524,1.03738416827752,0.07993979466684,1.05563236280647,0.11147411066524,1.03738416827752,All sites (112),anom
M8_anom_24m,ETmax,0.444545705557496,0.05192348988918,0.4453845846354,0.0518842661510986,0.444545705557496,0.05192348988918,All sites (112),anom
M8_anom_24m,GPPsat,0.444119002941863,6.69849882174928,0.380121461805739,7.07358980316364,0.444119002941863,6.69849882174928,All sites (112),anom
M8_anom_24m,NEPmax,0.49070987463658,6.37035473679498,0.440085288782877,6.67946884079024,0.49070987463658,6.37035473679498,All sites (112),anom
M8_anom_24m,WUE,0.165129003153823,1.12320071354991,0.112076294461392,1.15833854725923,0.165129003153823,1.12320071354991,All sites (112),anom
M8_anom_24m,uWUE,0.110562530466031,1.03791618228722,0.0748173892684337,1.05856688351089,0.110562530466031,1.03791618228722,All sites (112),anom
M8_raw_12m,ETmax,0.544681157593361,0.0470107870044389,0.723059937153975,0.0366633887223724,0.723414343131517,0.0366399217603633,All sites (112),raw
M8_raw_12m,GPPsat,0.541838707338274,6.08129076882934,0.713392784000658,4.80983448398569,0.729210574330852,4.67522398159006,All sites (112),raw
M8_raw_12m,NEPmax,0.595210035084452,5.67931369954557,0.758774328658575,4.38422415965148,0.781584139611595,4.17179611125158,All sites (112),raw
M8_raw_12m,WUE,0.348242340181787,0.992409140438865,0.645132528096347,0.732286082055978,0.646259976379344,0.731121884771763,All sites (112),raw
M8_raw_12m,uWUE,0.283305019049977,0.931690686456439,0.579873861405508,0.713336462639245,0.599202008631624,0.696734539893448,All sites (112),raw
M8_raw_24m,ETmax,0.567065785824936,0.0458406391853421,0.745355797709652,0.0351565788560208,0.749164608392936,0.0348926630704845,All sites (112),raw
M8_raw_24m,GPPsat,0.571135988298016,5.88364381271726,0.745889085253012,4.52895735330142,0.747843435825577,4.51150777894928,All sites (112),raw
M8_raw_24m,NEPmax,0.619776608430794,5.50427856343766,0.788419318940867,4.10600046730106,0.803166693041897,3.96032004187086,All sites (112),raw
M8_raw_24m,WUE,0.398664200179167,0.953248682207508,0.639041575114431,0.738543831358518,0.641833070544622,0.735682500197321,All sites (112),raw
M8_raw_24m,uWUE,0.347228110884671,0.889171009343749,0.604348305559956,0.692247008404833,0.625150380344556,0.673803263087412,All sites (112),raw
M1_12m,ETmax,0.364199122661237,0.0523035779699668,0.368894238447068,0.0521101004169028,0.364199122661237,0.0523035779699668,High tree cover (93),none
M1_12m,GPPsat,0.229888839573815,7.64285025899144,0.214884672824279,7.7169443811938,0.229888839573815,7.64285025899144,High tree cover (93),none
M1_12m,NEPmax,0.239417067071769,7.59038544581947,0.220176782753827,7.68579192687671,0.239417067071769,7.59038544581947,High tree cover (93),none
M1_12m,WUE,0.197390452914805,0.966718859362601,0.216543061363465,0.955114846940235,0.197390452914805,0.966718859362601,High tree cover (93),none
M1_12m,uWUE,0.149591868382286,0.919030460738215,0.138971925373609,0.924751107408856,0.149591868382286,0.919030460738215,High tree cover (93),none
M1_24m,ETmax,0.368968708083627,0.0521070258650929,0.372613801727225,0.0519563122065761,0.368968708083627,0.0521070258650929,High tree cover (93),none
M1_24m,GPPsat,0.222171196840818,7.68105107216454,0.202638375289381,7.77689628869172,0.222171196840818,7.68105107216454,High tree cover (93),none
M1_24m,NEPmax,0.240564584532353,7.58465734751396,0.221246231650528,7.68051997451391,0.240564584532353,7.58465734751396,High tree cover (93),none
M1_24m,WUE,0.190090600069695,0.971105134170173,0.223692724184803,0.950746770215003,0.190090600069695,0.971105134170173,High tree cover (93),none
M1_24m,uWUE,0.125823226822409,0.931785258878559,0.139788975843195,0.9243122438699,0.125823226822409,0.931785258878559,High tree cover (93),none
M2_12m,ETmax,0.355705443863699,0.0526517812750418,0.360971572602747,0.0524361656450721,0.355705443863699,0.0526517812750418,High tree cover (93),none
M2_12m,GPPsat,0.358924919628006,6.97321555040026,0.34536942812238,7.04655399228665,0.358924919628006,6.97321555040026,High tree cover (93),none
M2_12m,NEPmax,0.413211066028533,6.66701603835306,0.428408037478614,6.58011674542331,0.413211066028533,6.66701603835306,High tree cover (93),none
M2_12m,WUE,0.299910343860769,0.902869247768074,0.320094370867019,0.889758916540229,0.299910343860769,0.902869247768074,High tree cover (93),none
M2_12m,uWUE,0.201859042204325,0.890340241181397,0.204774023019159,0.888712897851114,0.201859042204325,0.890340241181397,High tree cover (93),none
M2_24m,ETmax,0.362369873067765,0.0523787647020776,0.365399823851161,0.0522541673382222,0.362369873067765,0.0523787647020776,High tree cover (93),none
M2_24m,GPPsat,0.339154600654559,7.07992370539103,0.337414681067442,7.08923783570811,0.339154600654559,7.07992370539103,High tree cover (93),none
M2_24m,NEPmax,0.407319444093433,6.70040234776148,0.418082434634679,6.63928444960953,0.407319444093433,6.70040234776148,High tree cover (93),none
M2_24m,WUE,0.271264615191881,0.921155520952813,0.29368506946743,0.906874569969891,0.271264615191881,0.921155520952813,High tree cover (93),none
M2_24m,uWUE,0.194469964782738,0.894452069173546,0.190425375859451,0.896694791981148,0.194469964782738,0.894452069173546,High tree cover (93),none
